filename, language, JSON, JavaScript, Properties, Markdown, SCSS, TypeScript, CSS, HTML, comment, blank, total
src/index.html, HTML, 0, 0, 0, 0, 0, 0, 0, 15, 0, 2, 17
src/main.ts, TypeScript, 0, 0, 0, 0, 0, 9, 0, 0, 0, 4, 13
src/polyfills.ts, TypeScript, 0, 0, 0, 0, 0, 2, 0, 0, 55, 7, 64
src/styles.css, CSS, 0, 0, 0, 0, 0, 0, 2, 0, 1, 2, 5
src/test.ts, TypeScript, 0, 0, 0, 0, 0, 13, 0, 0, 4, 4, 21
tsconfig.app.json, JSON, 14, 0, 0, 0, 0, 0, 0, 0, 0, 1, 15
tsconfig.json, JSON, 26, 0, 0, 0, 0, 0, 0, 0, 0, 1, 27
tsconfig.spec.json, JSON, 18, 0, 0, 0, 0, 0, 0, 0, 0, 1, 19
tslint.json, JSON, 92, 0, 0, 0, 0, 0, 0, 0, 0, 0, 92
Total, -, 14031, 53, 10, 14, 7, 1199, 284, 183, 117, 254, 16152
